@relation nursery_bin_5th

@attribute parents:=usual numeric
@attribute parents:=pretentious numeric
@attribute parents:=great_pret numeric
@attribute has_nurs:=proper numeric
@attribute has_nurs:=less_proper numeric
@attribute has_nurs:=improper numeric
@attribute has_nurs:=critical numeric
@attribute has_nurs:=very_crit numeric
@attribute form:=complete numeric
@attribute form:=completed numeric
@attribute form:=incomplete numeric
@attribute form:=foster numeric
@attribute children:=1 numeric
@attribute children:=2 numeric
@attribute children:=3 numeric
@attribute children:=more numeric
@attribute housing:=convenient numeric
@attribute housing:=less_conv numeric
@attribute housing:=critical numeric
@attribute finance: numeric
@attribute social:=nonprob numeric
@attribute social:=slightly_prob numeric
@attribute social:=problematic numeric
@attribute health:=recommended numeric
@attribute health:=priority numeric
@attribute health:=not_recom numeric
@attribute evaluation {not_recom,recommend,very_recom,priority,spec_prior}

@data
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,recommend
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,not_recom
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,not_recom
